# Undirected graph: large_graph.txt
# AS peering information inferred from Oregon route-views BGP data, from May 26 2001
# Nodes: 500 Edges: 2494
# FromNodeId	ToNodeId
0	1
0	2
1	0
1	3
2	0
2	4
2	5
3	1
3	6
3	7
4	2
4	8
4	9
5	2
5	10
5	11
6	3
6	12
6	13
7	3
7	14
7	15
8	4
8	16
8	17
9	4
9	18
9	19
10	5
10	20
10	21
11	5
11	22
11	23
12	6
12	24
12	25
13	6
13	26
13	27
14	7
14	28
14	29
15	7
15	30
15	31
16	8
16	32
16	33
17	8
17	34
17	35
18	9
18	36
18	37
19	9
19	38
19	39
20	10
20	40
20	41
21	10
21	42
21	43
22	11
22	44
22	45
23	11
23	46
23	47
24	12
24	48
24	49
25	12
25	50
25	51
26	13
26	52
26	53
27	13
27	54
27	55
28	14
28	56
28	57
29	14
29	58
29	59
30	15
30	60
30	61
31	15
31	62
31	63
32	16
32	64
32	65
33	16
33	66
33	67
34	17
34	68
34	69
35	17
35	70
35	71
36	18
36	72
36	73
37	18
37	74
37	75
38	19
38	76
38	77
39	19
39	78
39	79
40	20
40	80
40	81
41	20
41	82
41	83
42	21
42	84
42	85
43	21
43	86
43	87
44	22
44	88
44	89
45	22
45	90
45	91
46	23
46	92
46	93
47	23
47	94
47	95
48	24
48	96
48	97
49	24
49	98
49	99
50	25
50	100
50	101
51	25
51	102
51	103
52	26
52	104
52	105
53	26
53	106
53	107
54	27
54	108
54	109
55	27
55	110
55	111
56	28
56	112
56	113
57	28
57	114
57	115
58	29
58	116
58	117
59	29
59	118
59	119
60	30
60	120
60	121
61	30
61	122
61	123
62	31
62	124
62	125
63	31
63	126
63	127
64	32
64	128
64	129
65	32
65	130
65	131
66	33
66	132
66	133
67	33
67	134
67	135
68	34
68	136
68	137
69	34
69	138
69	139
70	35
70	140
70	141
71	35
71	142
71	143
72	36
72	144
72	145
73	36
73	146
73	147
74	37
74	148
74	149
75	37
75	150
75	151
76	38
76	152
76	153
77	38
77	154
77	155
78	39
78	156
78	157
79	39
79	158
79	159
80	40
80	160
80	161
81	40
81	162
81	163
82	41
82	164
82	165
83	41
83	166
83	167
84	42
84	168
84	169
85	42
85	170
85	171
86	43
86	172
86	173
87	43
87	174
87	175
88	44
88	176
88	177
89	44
89	178
89	179
90	45
90	180
90	181
91	45
91	182
91	183
92	46
92	184
92	185
93	46
93	186
93	187
94	47
94	188
94	189
95	47
95	190
95	191
96	48
96	192
96	193
97	48
97	194
97	195
98	49
98	196
98	197
99	49
99	198
99	199
100	50
100	200
100	201
101	50
101	202
101	203
102	51
102	204
102	205
103	51
103	206
103	207
104	52
104	208
104	209
105	52
105	210
105	211
106	53
106	212
106	213
107	53
107	214
107	215
108	54
108	216
108	217
109	54
109	218
109	219
110	55
110	220
110	221
111	55
111	222
111	223
112	56
112	224
112	225
113	56
113	226
113	227
114	57
114	228
114	229
115	57
115	230
115	231
116	58
116	232
116	233
117	58
117	234
117	235
118	59
118	236
118	237
119	59
119	238
119	239
120	60
120	240
120	241
121	60
121	242
121	243
122	61
122	244
122	245
123	61
123	246
123	247
124	62
124	248
124	249
125	62
125	250
125	251
126	63
126	252
126	253
127	63
127	254
127	255
128	64
128	256
128	257
129	64
129	258
129	259
130	65
130	260
130	261
131	65
131	262
131	263
132	66
132	264
132	265
133	66
133	266
133	267
134	67
134	268
134	269
135	67
135	270
135	271
136	68
136	272
136	273
137	68
137	274
137	275
138	69
138	276
138	277
139	69
139	278
139	279
140	70
140	280
140	281
141	70
141	282
141	283
142	71
142	284
142	285
143	71
143	286
143	287
144	72
144	288
144	289
145	72
145	290
145	291
146	73
146	292
146	293
147	73
147	294
147	295
148	74
148	296
148	297
149	74
149	298
149	299
150	75
150	300
150	301
151	75
151	302
151	303
152	76
152	304
152	305
153	76
153	306
153	307
154	77
154	308
154	309
155	77
155	310
155	311
156	78
156	312
156	313
157	78
157	314
157	315
158	79
158	316
158	317
159	79
159	318
159	319
160	80
160	320
160	321
161	80
161	322
161	323
162	81
162	324
162	325
163	81
163	326
163	327
164	82
164	328
164	329
165	82
165	330
165	331
166	83
166	332
166	333
167	83
167	334
167	335
168	84
168	336
168	337
169	84
169	338
169	339
170	85
170	340
170	341
171	85
171	342
171	343
172	86
172	344
172	345
173	86
173	346
173	347
174	87
174	348
174	349
175	87
175	350
175	351
176	88
176	352
176	353
177	88
177	354
177	355
178	89
178	356
178	357
179	89
179	358
179	359
180	90
180	360
180	361
181	90
181	362
181	363
182	91
182	364
182	365
183	91
183	366
183	367
184	92
184	368
184	369
185	92
185	370
185	371
186	93
186	372
186	373
187	93
187	374
187	375
188	94
188	376
188	377
189	94
189	378
189	379
190	95
190	380
190	381
191	95
191	382
191	383
192	96
192	384
192	385
193	96
193	386
193	387
194	97
194	388
194	389
195	97
195	390
195	391
196	98
196	392
196	393
197	98
197	394
197	395
198	99
198	396
198	397
199	99
199	398
199	399
200	100
200	400
200	401
201	100
201	402
201	403
202	101
202	404
202	405
203	101
203	406
203	407
204	102
204	408
204	409
205	102
205	410
205	411
206	103
206	412
206	413
207	103
207	414
207	415
208	104
208	416
208	417
209	104
209	418
209	419
210	105
210	420
210	421
211	105
211	422
211	423
212	106
212	424
212	425
213	106
213	426
213	427
214	107
214	428
214	429
215	107
215	430
215	431
216	108
216	432
216	433
217	108
217	434
217	435
218	109
218	436
218	437
219	109
219	438
219	439
220	110
220	440
220	441
221	110
221	442
221	443
222	111
222	444
222	445
223	111
223	446
223	447
224	112
224	448
224	449
225	112
225	450
225	451
226	113
226	452
226	453
227	113
227	454
227	455
228	114
228	456
228	457
229	114
229	458
229	459
230	115
230	460
230	461
231	115
231	462
231	463
232	116
232	464
232	465
233	116
233	466
233	467
234	117
234	468
234	469
235	117
235	470
235	471
236	118
236	472
236	473
237	118
237	474
237	475
238	119
238	476
238	477
239	119
239	478
239	479
240	120
240	480
240	481
241	120
241	482
241	483
242	121
242	484
242	485
243	121
243	486
243	487
244	122
244	488
244	489
245	122
245	490
245	491
246	123
246	492
246	493
247	123
247	494
247	495
248	124
248	496
248	497
249	124
249	498
249	499
250	125
250	0
250	1
251	125
251	2
251	3
252	126
252	4
252	5
253	126
253	6
253	7
254	127
254	8
254	9
255	127
255	10
255	11
256	128
256	12
256	13
257	128
257	14
257	15
258	129
258	16
258	17
259	129
259	18
259	19
260	130
260	20
260	21
261	130
261	22
261	23
262	131
262	24
262	25
263	131
263	26
263	27
264	132
264	28
264	29
265	132
265	30
265	31
266	133
266	32
266	33
267	133
267	34
267	35
268	134
268	36
268	37
269	134
269	38
269	39
270	135
270	40
270	41
271	135
271	42
271	43
272	136
272	44
272	45
273	136
273	46
273	47
274	137
274	48
274	49
275	137
275	50
275	51
276	138
276	52
276	53
277	138
277	54
277	55
278	139
278	56
278	57
279	139
279	58
279	59
280	140
280	60
280	61
281	140
281	62
281	63
282	141
282	64
282	65
283	141
283	66
283	67
284	142
284	68
284	69
285	142
285	70
285	71
286	143
